"","SiteCode","Date","Sample","Chl-a","month","YearMonth","YearMonthSite"
"1","SH",2024-04-11,79,1.87,"04",Apr 2024,"Apr 2024_SH"
"2","SH",2024-04-11,80,1.52,"04",Apr 2024,"Apr 2024_SH"
"3","SH",2024-04-11,81,1.61,"04",Apr 2024,"Apr 2024_SH"
"4","YB",2024-04-25,82,36.58,"04",Apr 2024,"Apr 2024_YB"
"5","YB",2024-04-25,83,36.36,"04",Apr 2024,"Apr 2024_YB"
"6","YB",2024-04-25,84,41.38,"04",Apr 2024,"Apr 2024_YB"
"7","TK",2024-05-07,1,6,"05",May 2024,"May 2024_TK"
"8","TK",2024-05-07,2,6.89,"05",May 2024,"May 2024_TK"
"9","TK",2024-05-07,3,6.37,"05",May 2024,"May 2024_TK"
"10","SH",2024-05-09,4,1.1,"05",May 2024,"May 2024_SH"
"11","SH",2024-05-09,5,3.82,"05",May 2024,"May 2024_SH"
"12","SH",2024-05-09,6,5.1,"05",May 2024,"May 2024_SH"
"13","CB",2024-05-10,16,15.8,"05",May 2024,"May 2024_CB"
"14","CB",2024-05-10,17,15.82,"05",May 2024,"May 2024_CB"
"15","CB",2024-05-10,18,13.55,"05",May 2024,"May 2024_CB"
"16","RP",2024-05-11,10,5.67,"05",May 2024,"May 2024_RP"
"17","RP",2024-05-11,11,4.73,"05",May 2024,"May 2024_RP"
"18","RP",2024-05-11,12,3.45,"05",May 2024,"May 2024_RP"
"19","BB",2024-05-23,13,1.94,"05",May 2024,"May 2024_BB"
"20","BB",2024-05-23,14,2.32,"05",May 2024,"May 2024_BB"
"21","BB",2024-05-23,15,1.92,"05",May 2024,"May 2024_BB"
"22","FC",2024-05-24,16,3.24,"05",May 2024,"May 2024_FC"
"23","FC",2024-05-24,17,3.43,"05",May 2024,"May 2024_FC"
"24","FC",2024-05-24,18,3.26,"05",May 2024,"May 2024_FC"
"25","YB",2024-05-25,19,20.91,"05",May 2024,"May 2024_YB"
"26","YB",2024-05-25,20,19.35,"05",May 2024,"May 2024_YB"
"27","YB",2024-05-25,21,21.26,"05",May 2024,"May 2024_YB"
"28","SH",2024-05-26,25,5.46,"05",May 2024,"May 2024_SH"
"29","SH",2024-05-26,26,5.9,"05",May 2024,"May 2024_SH"
"30","SH",2024-05-26,27,3.98,"05",May 2024,"May 2024_SH"
"31","CB",2024-05-27,22,9.04,"05",May 2024,"May 2024_CB"
"32","CB",2024-05-27,23,9.51,"05",May 2024,"May 2024_CB"
"33","CB",2024-05-27,24,9.95,"05",May 2024,"May 2024_CB"
"34","RP",2024-05-28,28,50.89,"05",May 2024,"May 2024_RP"
"35","RP",2024-05-28,29,46.83,"05",May 2024,"May 2024_RP"
"36","RP",2024-05-28,30,38.13,"05",May 2024,"May 2024_RP"
"37","FC",2024-06-07,37,1.59,"06",Jun 2024,"Jun 2024_FC"
"38","FC",2024-06-07,38,4.27,"06",Jun 2024,"Jun 2024_FC"
"39","FC",2024-06-07,39,5.19,"06",Jun 2024,"Jun 2024_FC"
"40","BB",2024-06-08,40,3.64,"06",Jun 2024,"Jun 2024_BB"
"41","BB",2024-06-08,41,1.32,"06",Jun 2024,"Jun 2024_BB"
"42","BB",2024-06-08,42,1.57,"06",Jun 2024,"Jun 2024_BB"
"43","SH",2024-06-09,31,9.8,"06",Jun 2024,"Jun 2024_SH"
"44","SH",2024-06-09,32,9.25,"06",Jun 2024,"Jun 2024_SH"
"45","SH",2024-06-09,33,8.64,"06",Jun 2024,"Jun 2024_SH"
"46","YB",2024-06-10,43,7.99,"06",Jun 2024,"Jun 2024_YB"
"47","YB",2024-06-10,44,8.19,"06",Jun 2024,"Jun 2024_YB"
"48","YB",2024-06-10,45,8.26,"06",Jun 2024,"Jun 2024_YB"
"49","FC",2024-06-21,82,7.78,"06",Jun 2024,"Jun 2024_FC"
"50","FC",2024-06-21,83,4.33,"06",Jun 2024,"Jun 2024_FC"
"51","FC",2024-06-21,84,3.21,"06",Jun 2024,"Jun 2024_FC"
"52","BB",2024-06-22,91,2.87,"06",Jun 2024,"Jun 2024_BB"
"53","BB",2024-06-22,92,2.21,"06",Jun 2024,"Jun 2024_BB"
"54","BB",2024-06-22,93,2.02,"06",Jun 2024,"Jun 2024_BB"
"55","YB",2024-06-23,94,13.53,"06",Jun 2024,"Jun 2024_YB"
