"","Date","Species","site","transect","average_value","Week","month","year","YearMonth","YearMonthSite","WeekYearSite","cape"
"1",2023-03-04,"Hedophyllum sessile","SH",3,7.38461538461539,"09","03","23",Mar 2023,"Mar 2023_SH","09_23_SH","Perpetua"
"2",2023-03-04,"Hedophyllum sessile","SH",4,12.6,"09","03","23",Mar 2023,"Mar 2023_SH","09_23_SH","Perpetua"
"3",2023-03-18,"Postelsia palmaeformis","FC",1,43,"11","03","23",Mar 2023,"Mar 2023_FC","11_23_FC","Foulweather"
"4",2023-03-18,"Postelsia palmaeformis","FC",2,29.3333333333333,"11","03","23",Mar 2023,"Mar 2023_FC","11_23_FC","Foulweather"
"5",2023-03-18,"Postelsia palmaeformis","FC",3,33,"11","03","23",Mar 2023,"Mar 2023_FC","11_23_FC","Foulweather"
"6",2023-03-18,"Postelsia palmaeformis","FC",4,35,"11","03","23",Mar 2023,"Mar 2023_FC","11_23_FC","Foulweather"
"7",2023-03-18,"Postelsia palmaeformis","FC",5,103,"11","03","23",Mar 2023,"Mar 2023_FC","11_23_FC","Foulweather"
"8",2023-03-19,"Lessoniopsis littoralis","BB",1,9.3,"11","03","23",Mar 2023,"Mar 2023_BB","11_23_BB","Foulweather"
"9",2023-03-19,"Lessoniopsis littoralis","BB",3,2.5,"11","03","23",Mar 2023,"Mar 2023_BB","11_23_BB","Foulweather"
"10",2023-03-19,"Lessoniopsis littoralis","BB",4,2.4,"11","03","23",Mar 2023,"Mar 2023_BB","11_23_BB","Foulweather"
"11",2023-03-19,"Lessoniopsis littoralis","BB",5,1.2,"11","03","23",Mar 2023,"Mar 2023_BB","11_23_BB","Foulweather"
"12",2023-03-20,"Hedophyllum sessile","CB",1,0.428571428571429,"11","03","23",Mar 2023,"Mar 2023_CB","11_23_CB","Blanco"
"13",2023-03-20,"Hedophyllum sessile","CB",2,2.875,"11","03","23",Mar 2023,"Mar 2023_CB","11_23_CB","Blanco"
"14",2023-03-20,"Hedophyllum sessile","CB",3,2.16666666666667,"11","03","23",Mar 2023,"Mar 2023_CB","11_23_CB","Blanco"
"15",2023-03-20,"Hedophyllum sessile","CB",4,0.857142857142857,"11","03","23",Mar 2023,"Mar 2023_CB","11_23_CB","Blanco"
"16",2023-03-20,"Hedophyllum sessile","CB",5,1.6,"11","03","23",Mar 2023,"Mar 2023_CB","11_23_CB","Blanco"
"17",2023-03-21,"Hedophyllum sessile","SH",3,7.38461538461539,"12","03","23",Mar 2023,"Mar 2023_SH","12_23_SH","Perpetua"
"18",2023-03-21,"Hedophyllum sessile","SH",4,9.625,"12","03","23",Mar 2023,"Mar 2023_SH","12_23_SH","Perpetua"
"19",2023-04-22,"Hedophyllum sessile","RP",1,4.875,"16","04","23",Apr 2023,"Apr 2023_RP","16_23_RP","Blanco"
"20",2023-04-22,"Hedophyllum sessile","RP",2,3,"16","04","23",Apr 2023,"Apr 2023_RP","16_23_RP","Blanco"
"21",2023-04-23,"Alaria marginata","CB",4,2.2,"16","04","23",Apr 2023,"Apr 2023_CB","16_23_CB","Blanco"
"22",2023-04-23,"Postelsia palmaeformis","CB",1,25.3333333333333,"16","04","23",Apr 2023,"Apr 2023_CB","16_23_CB","Blanco"
"23",2023-04-23,"Postelsia palmaeformis","CB",2,33.3333333333333,"16","04","23",Apr 2023,"Apr 2023_CB","16_23_CB","Blanco"
"24",2023-04-23,"Postelsia palmaeformis","CB",3,31,"16","04","23",Apr 2023,"Apr 2023_CB","16_23_CB","Blanco"
"25",2023-04-23,"Postelsia palmaeformis","CB",4,16.6666666666667,"16","04","23",Apr 2023,"Apr 2023_CB","16_23_CB","Blanco"
"26",2023-04-23,"Postelsia palmaeformis","CB",5,13,"16","04","23",Apr 2023,"Apr 2023_CB","16_23_CB","Blanco"
"27",2023-05-02,"Hedophyllum sessile","CB",2,3.28571428571429,"18","05","23",May 2023,"May 2023_CB","18_23_CB","Blanco"
"28",2023-05-02,"Hedophyllum sessile","CB",3,2.16666666666667,"18","05","23",May 2023,"May 2023_CB","18_23_CB","Blanco"
"29",2023-05-09,"Egregia menziesii","BB",1,2.57142857142857,"19","05","23",May 2023,"May 2023_BB","19_23_BB","Foulweather"
"30",2023-05-09,"Egregia menziesii","BB",2,4.16666666666667,"19","05","23",May 2023,"May 2023_BB","19_23_BB","Foulweather"
"31",2023-05-09,"Egregia menziesii","BB",3,2,"19","05","23",May 2023,"May 2023_BB","19_23_BB","Foulweather"
"32",2023-05-09,"Egregia menziesii","BB",4,2.83333333333333,"19","05","23",May 2023,"May 2023_BB","19_23_BB","Foulweather"
"33",2023-05-09,"Egregia menziesii","BB",5,2.75,"19","05","23",May 2023,"May 2023_BB","19_23_BB","Foulweather"
"34",2023-05-10,"Hedophyllum sessile","YB",4,3.5,"19","05","23",May 2023,"May 2023_YB","19_23_YB","Perpetua"
"35",2023-05-10,"Hedophyllum sessile","YB",5,3.5,"19","05","23",May 2023,"May 2023_YB","19_23_YB","Perpetua"
"36",2023-05-21,"Alaria marginata","RP",1,12.125,"20","05","23",May 2023,"May 2023_RP","20_23_RP","Blanco"
"37",2023-05-21,"Alaria marginata","RP",2,2.28571428571429,"20","05","23",May 2023,"May 2023_RP","20_23_RP","Blanco"
"38",2023-05-21,"Alaria marginata","RP",3,0.5,"20","05","23",May 2023,"May 2023_RP","20_23_RP","Blanco"
"39",2023-05-21,"Alaria marginata","RP",4,7.625,"20","05","23",May 2023,"May 2023_RP","20_23_RP","Blanco"
"40",2023-05-21,"Alaria marginata","RP",5,4.875,"20","05","23",May 2023,"May 2023_RP","20_23_RP","Blanco"
"41",2023-05-21,"Egregia menziesii","RP",1,0,"20","05","23",May 2023,"May 2023_RP","20_23_RP","Blanco"
"42",2023-05-21,"Egregia menziesii","RP",2,0,"20","05","23",May 2023,"May 2023_RP","20_23_RP","Blanco"
"43",2023-05-21,"Egregia menziesii","RP",3,0,"20","05","23",May 2023,"May 2023_RP","20_23_RP","Blanco"
"44",2023-05-21,"Hedophyllum sessile","RP",1,1.6,"20","05","23",May 2023,"May 2023_RP","20_23_RP","Blanco"
"45",2023-05-21,"Hedophyllum sessile","RP",2,2.83333333333333,"20","05","23",May 2023,"May 2023_RP","20_23_RP","Blanco"
