"","YearMonth","SiteCode","average_chl","YearMonthSite"
"1",Apr 2024,"SH",1.66666666666667,"Apr 2024_SH"
"2",Apr 2024,"YB",38.1066666666667,"Apr 2024_YB"
"3",May 2024,"BB",2.06,"May 2024_BB"
"4",May 2024,"CB",12.2783333333333,"May 2024_CB"
"5",May 2024,"FC",3.31,"May 2024_FC"
"6",May 2024,"RP",24.95,"May 2024_RP"
"7",May 2024,"SH",4.22666666666667,"May 2024_SH"
"8",May 2024,"TK",6.42,"May 2024_TK"
"9",May 2024,"YB",20.5066666666667,"May 2024_YB"
"10",Jun 2024,"BB",2.27166666666667,"Jun 2024_BB"
"11",Jun 2024,"CB",26.89,"Jun 2024_CB"
"12",Jun 2024,"FC",4.395,"Jun 2024_FC"
"13",Jun 2024,"RP",5.92,"Jun 2024_RP"
"14",Jun 2024,"SH",9.335,"Jun 2024_SH"
"15",Jun 2024,"YB",10.244,"Jun 2024_YB"
"16",Aug 2024,"BB",7.365,"Aug 2024_BB"
"17",Aug 2024,"FC",19.3883333333333,"Aug 2024_FC"
"18",Aug 2024,"SH",8.92166666666667,"Aug 2024_SH"
"19",Aug 2024,"TK",22.58,"Aug 2024_TK"
"20",Aug 2024,"YB",26.0483333333333,"Aug 2024_YB"
"21",Sep 2024,"BB",3.05333333333333,"Sep 2024_BB"
"22",Sep 2024,"CB",5.91666666666667,"Sep 2024_CB"
"23",Sep 2024,"FC",10.2333333333333,"Sep 2024_FC"
"24",Sep 2024,"RP",13.1066666666667,"Sep 2024_RP"
"25",Sep 2024,"SH",8.24,"Sep 2024_SH"
"26",Sep 2024,"YB",10.81,"Sep 2024_YB"
"27",Oct 2024,"BB",10.005,"Oct 2024_BB"
"28",Oct 2024,"CB",4.05333333333333,"Oct 2024_CB"
"29",Oct 2024,"RP",7.24333333333333,"Oct 2024_RP"
"30",Oct 2024,"SH",20.88,"Oct 2024_SH"
"31",Dec 2024,"BB",2.66,"Dec 2024_BB"
"32",Dec 2024,"SH",3.99,"Dec 2024_SH"
"33",Dec 2024,"YB",5.05333333333333,"Dec 2024_YB"
"34",Mar 2025,"FC",2.34,"Mar 2025_FC"
"35",Apr 2025,"BB",8.90333333333333,"Apr 2025_BB"
"36",Apr 2025,"FC",43.49,"Apr 2025_FC"
"37",Apr 2025,"SH",21.8966666666667,"Apr 2025_SH"
"38",Apr 2025,"TK",3.81,"Apr 2025_TK"
"39",Apr 2025,"YB",27.7066666666667,"Apr 2025_YB"
"40",May 2025,"CB",52.4144444444444,"May 2025_CB"
"41",May 2025,"FC",22.9416666666667,"May 2025_FC"
"42",May 2025,"RP",19.4716666666667,"May 2025_RP"
"43",May 2025,"SH",NA,"May 2025_SH"
"44",May 2025,"TK",63.5266666666667,"May 2025_TK"
"45",May 2025,"YB",NA,"May 2025_YB"
"46",Jun 2025,"BB",4.56,"Jun 2025_BB"
"47",Jun 2025,"CB",32.2616666666667,"Jun 2025_CB"
"48",Jun 2025,"FC",12.2233333333333,"Jun 2025_FC"
"49",Jun 2025,"RP",49.8583333333333,"Jun 2025_RP"
"50",Jun 2025,"SH",22.005,"Jun 2025_SH"
"51",Jun 2025,"YB",20.945,"Jun 2025_YB"
"52",Jul 2025,"BB",8.725,"Jul 2025_BB"
"53",Jul 2025,"CB",3.93,"Jul 2025_CB"
"54",Jul 2025,"FC",58.2883333333333,"Jul 2025_FC"
"55",Jul 2025,"RP",4.44,"Jul 2025_RP"
"56",Jul 2025,"SH",33.1733333333333,"Jul 2025_SH"
"57",Jul 2025,"YB",114.64,"Jul 2025_YB"
"58",Aug 2025,"BB",4.60333333333333,"Aug 2025_BB"
"59",Aug 2025,"CB",4.96666666666667,"Aug 2025_CB"
"60",Aug 2025,"FC",24.6733333333333,"Aug 2025_FC"
"61",Aug 2025,"RP",5.88666666666667,"Aug 2025_RP"
"62",Aug 2025,"SH",29.7433333333333,"Aug 2025_SH"
"63",Aug 2025,"TK",55.56,"Aug 2025_TK"
"64",Aug 2025,"YB",11.6966666666667,"Aug 2025_YB"
